"BUILDING","ROOM","Course","Title","SECTION","First_Name","Last_Name","Monday","Tuesday","Wednesday","Thursday","Friday","Start_Time","Stop_Time"
"ARBLDG","101","AR391","Sculpture I","01","Aaron","Benson","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","101","AR392","Sculpture II","01","Aaron","Benson","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","101","AR474","Form & Cont Exp in Sculpture","01","Aaron","Benson","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","101","AR475","Pers Form Inv in Sculpture","01","Aaron","Benson","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","101","AR477","Adv Form & Cont in Dev Sculpt","01","Aaron","Benson","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","102","AR351","Ceramics I","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR352","Ceramics II","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR452","Form & Cont Exp in Ceramics","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR454","Form & Cont Dev in Ceramics","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR456","Pro Skills Dev in Ceramics","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR457","Fin Port Prep in Ceramics","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","102","AR499","Independent Study-Practicum","01","Aaron","Benson","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","201","AR421","Advanced Drawing","01","John","Turner","M","","W","","","11:00 AM","01:45 PM"
"ARBLDG","201","AR434","Contemp Painting Overview","01","John","Turner","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","201","AR435","Sel Studies in Cont Painting","01","John","Turner","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","201","AR436","Nontrad M & M in Painting","01","John","Turner","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","202","AR221","Drawing I","01","Wayne","Sides","","T","","R","","08:00 AM","10:45 AM"
"ARBLDG","202","AR221","Drawing I","02","Michelle","Davis","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","202","AR222","Drawing II","01","John","Turner","M","","W","","","11:00 AM","01:45 PM"
"ARBLDG","202","AR342","Painting I","01","John","Turner","M","","W","","","02:00 PM","04:45 PM"
"ARBLDG","202","AR342","Painting I","02","John","Turner","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","202","AR343","Painting II","01","John","Turner","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","203","AR311","Printmaking I","01","Chiong-Yiao","Chen","M","","W","","","02:00 PM","04:45 PM"
"ARBLDG","301","AR231","Design I","01","John","Waters","M","","W","","","11:00 AM","01:45 PM"
"ARBLDG","301","AR232","Design II","01","Aaron","Benson","","T","","R","","08:00 AM","10:45 AM"
"ARBLDG","302","AR201","Intro to Digital Photography","01","Robert","Rausch","M","","W","","","05:00 PM","07:45 PM"
"ARBLDG","302","AR335","Selected Studies in Studio Art","01","John","Waters","","T","","R","","08:00 AM","10:45 AM"
"ARBLDG","302","AR347","Digital Media I","02","Fred","Hensley","M","","W","","","11:00 AM","01:45 PM"
"ARBLDG","302","AR347","Digital Media I","01","Fred","Hensley","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","302","AR348","Digital Media II","02","Fred","Hensley","M","","W","","","11:00 AM","01:45 PM"
"ARBLDG","302","AR348","Digital Media II","01","Fred","Hensley","M","","W","","","08:00 AM","10:45 AM"
"ARBLDG","302","AR423","Digital Portfolio Design","01","Fred","Hensley","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","302","AR464","Adv Digital Media - Video","01","John","Waters","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","302","AR465","Adv Digital Media-Sr. Project","01","John","Waters","","","","","","",""
"ARBLDG","302","AR493","Professional Practices in Art","01","Chiong-Yiao","Chen","","","","","F","09:00 AM","12:00 PM"
"ARBLDG","303","AR200","Photography I","02","Wayne","Sides","","T","","R","","11:00 AM","01:45 PM"
"ARBLDG","303","AR300","Photography II","01","Wayne","Sides","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","303","AR404","Narrative Photography","01","Wayne","Sides","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","303","AR405","Alternative Processes in Photo","01","Wayne","Sides","","T","","R","","02:00 PM","04:45 PM"
"ARBLDG","303","AR406","Thematic Portfolio in Photo","01","Wayne","Sides","","T","","R","","02:00 PM","04:45 PM"
"BGHALL","202","EN112","First-Year Composition II","18","Alaina","Shockley","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","202","EN112","First-Year Composition II","33","Kelly","Latchaw","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","202","EN212","Survey of English Literature","03","Cheryl","Price","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","202","EN222","Am Lit Whitman to Present","05","Latasha","Howell","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","202","EN222","Am Lit Whitman to Present","02","Pamela","Kingsbury","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","202","EN231","Literature of the World I","03","Katherine","Pace","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","202","EN231","Literature of the World I","01","Katherine","Pace","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","202","EN231","Literature of the World I","02","Roy","Sanderson","","T","","R","","08:00 AM","09:15 AM"
"BGHALL","202","EN310W","Advanced Composition","01","Nicholas","Mauriello","","T","","R","","04:30 PM","05:45 PM"
"BGHALL","202","EN323","Literature for Young Adults","01","Dianne","Dodson","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","203","COM300","History of Film","01","Kathryn","Wardell","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","203","EN112","First-Year Composition II","13","Pamela","Kingsbury","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","203","EN212","Survey of English Literature","05","Anissa","Graham","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","203","EN212","Survey of English Literature","01","Stephen","Melvin","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","203","EN212","Survey of English Literature","06","Kathryn","Wardell","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","203","EN232","Literature of the World II","06","Nathan","Stanfill","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","203","EN315","History of Film","01","Kathryn","Wardell","","T","","R","","11:00 AM","12:15 PM"
